"Date","Price","Open","High","Low","Change %"
"Oct 24, 2019","724.71","726.50","727.42","720.86","-0.25%"
"Oct 23, 2019","726.50","724.50","729.15","722.46","0.28%"
"Oct 22, 2019","724.50","726.40","729.68","721.55","-0.30%"
"Oct 21, 2019","726.71","711.16","728.30","711.16","2.26%"
"Oct 18, 2019","710.67","711.95","712.75","708.10","-0.18%"
"Oct 17, 2019","711.95","716.86","718.60","711.42","-0.68%"
"Oct 16, 2019","716.83","715.83","721.12","714.05","0.14%"
"Oct 15, 2019","715.82","713.29","717.91","712.41","0.34%"
"Oct 14, 2019","713.40","710.46","714.27","710.46","0.41%"
"Oct 11, 2019","710.46","719.46","719.46","709.99","-1.19%"
"Oct 10, 2019","719.00","723.99","724.61","717.28","-0.65%"
"Oct 09, 2019","723.70","725.74","725.74","722.30","-0.25%"
"Oct 08, 2019","725.50","718.79","725.63","718.79","0.92%"
"Oct 07, 2019","718.86","714.71","719.48","714.71","0.54%"
"Oct 04, 2019","715.03","716.82","717.60","714.50","-0.22%"
"Oct 03, 2019","716.62","724.63","725.61","716.25","-1.09%"
"Oct 02, 2019","724.50","729.18","730.45","723.52","-0.64%"
"Oct 01, 2019","729.18","728.62","731.58","727.83","0.06%"
"Sep 30, 2019","728.75","726.28","729.36","726.18","0.34%"
"Sep 27, 2019","726.28","726.87","727.83","724.50","-0.05%"
"Sep 26, 2019","726.62","727.46","728.67","724.23","-0.03%"
"Sep 25, 2019","726.85","723.49","728.93","723.49","0.50%"
"Sep 24, 2019","723.22","721.18","724.43","718.98","0.24%"
"Sep 23, 2019","721.50","718.08","725.01","716.34","0.55%"
"Sep 20, 2019","717.53","716.10","718.26","716.10","0.20%"
"Sep 19, 2019","716.10","715.25","718.00","715.25","0.02%"
"Sep 18, 2019","715.95","715.66","717.60","714.23","0.13%"
"Sep 17, 2019","715.00","709.64","717.61","709.64","0.75%"
"Sep 16, 2019","709.65","707.33","713.09","707.33","0.30%"
"Sep 13, 2019","707.50","708.99","709.28","704.87","-0.20%"
"Sep 12, 2019","708.92","715.99","715.99","708.74","-1.00%"
"Sep 11, 2019","716.08","712.05","717.12","710.22","0.55%"
"Sep 10, 2019","712.15","714.95","716.89","711.50","-0.39%"
"Sep 09, 2019","714.95","711.52","717.06","709.12","0.46%"
"Sep 06, 2019","711.65","715.76","715.76","708.81","-0.58%"
