Instrumento,Reaj,Duration,Monto,Fecha,Familia
BTP0400323,$,2.97,427544594,2020-01-02,BT
BTP0400323,$,2.97,534430742,2020-01-02,BT
BTP0400323,$,2.97,534430742,2020-01-02,BT
BTP0400323,$,2.97,534430742,2020-01-02,BT
BTP0400323,$,2.97,534430742,2020-01-02,BT
BTP0400323,$,2.97,534430742,2020-01-02,BT
BTP0400323,$,2.97,534430742,2020-01-02,BT
BBNSAM0918,UF,3.55,1490595597,2020-01-02,BE
BBNSAM0918,UF,3.55,1490570227,2020-01-02,BE
BTU0130323,UF,3.09,300641484,2020-01-02,BT
BTP0400323,$,2.97,5344307,2020-01-02,BT
BVL2CX1238,UF,9.14,30106132,2020-01-02,BT
BRPL-L0315,$,0.16,102221519,2020-01-02,BE
BRPL-L0315,$,0.16,20444304,2020-01-02,BE
BEILC-F,$,2.74,10410220,2020-01-02,BE
BCTCH-T,$,1.79,10476602,2020-01-02,BE
BCTCH-T,$,1.79,10476602,2020-01-02,BE
BCTCH-T,$,1.79,10476602,2020-01-02,BE
BCTCH-T,$,1.79,10476602,2020-01-02,BE
BCTCH-T,$,1.79,10476602,2020-01-02,BE
BCTCH-T,$,1.79,10476602,2020-01-02,BE
BCTCH-T,$,1.79,10476602,2020-01-02,BE
BCTCH-T,$,1.79,10476602,2020-01-02,BE
BCTCH-T,$,1.79,10476602,2020-01-02,BE
BCTCH-T,$,1.79,10476602,2020-01-02,BE
BCTCH-T,$,1.79,10476602,2020-01-02,BE
BCTCH-T,$,1.79,10476602,2020-01-02,BE
BCTCH-T,$,1.79,10476602,2020-01-02,BE
BCTCH-T,$,1.79,10476602,2020-01-02,BE
UFAL-A0607,UF,4.37,42453255,2020-01-02,BE
BSTDEC0913,UF,3.45,63665460,2020-01-02,BE
BSTDEC0913,UF,3.45,63665460,2020-01-02,BE
BSECR10611,UF,0.86,15751161,2020-01-02,BE
BSECB40615,UF,0.41,28571374,2020-01-02,BE
BSECB40615,UF,0.41,28571374,2020-01-02,BE
BSECB40615,UF,0.41,28571374,2020-01-02,BE
BSECB40615,UF,0.41,28571374,2020-01-02,BE
BSECB40615,UF,0.41,28565700,2020-01-02,BE
BSECB40615,UF,0.41,28565700,2020-01-02,BE
BSECB40615,UF,0.41,28565700,2020-01-02,BE
BSECB40615,UF,0.41,28565700,2020-01-02,BE
BSECB40615,UF,0.41,28585559,2020-01-02,BE
BSECB40615,UF,0.41,28585559,2020-01-02,BE
BSECB40615,UF,0.41,28585559,2020-01-02,BE
BSECB40615,UF,0.41,28585559,2020-01-02,BE
BSECB40615,UF,0.41,28585559,2020-01-02,BE
BITA-O0612,UF,1.39,29641034,2020-01-02,BE
BITA-O0612,UF,1.39,29641034,2020-01-02,BE
BITA-O0612,UF,1.39,29641034,2020-01-02,BE
